Artikelnr.;VP;Inh;EH;Omschrijving;Merk;Aantal;Prijs;Bedrag;Btw;Cd
40495303;ROL;250;GR;GEITENKAAS ZACHT;De Bokke;2;5,25;10,50;9%;4
40709064;;1;KG;BRIE DE MEAUX HENNART AOP;Hennart;0,212;24,48;5,19;9%;4
40709751;;1;KG;DELICE DE BOURGOGNE;Lincet;0,154;21,56;3,32;9%;4
40710830;BK;1;L;CREME FRAICHE 30%;Fleuri;1;7,95;7,95;9%;4
40716060;;1;KG;TETE DE MOINE 1/2 CIRCA 400GR;Emmi "A";0,45;26,98;12,13;9%;4
40748496;;1;KG;REBLOCHON SAVOIE BOUCHET;Bouchet;0,228;27,94;6,37;9%;4
41102080;ZAK;400;GR;EDAMAME SOJABONEN IN PEULEN;Okaya;2;2,60;5,20;9%;4
41901670;ZAK;600;GR;GYOZA GARNAAL;Ajinomot "A";1;9,50;9,50;9%;4
60194216;PK;50;ST;SERVET LINSTYLE 39X39CM 1/4V WIT;Tork;1;7,95;7,95;21%;2
60253660;KF;50;ST;BORD BASIC BAGASSE ROND 26CM 3-VAKS;Select b;1;7,35;7,35;21%;2
65120509;ZAK;10;KG;HOUTSKOOL HORECA GELE ZAK;Select;1;24,95;24,95;21%;1
